state,year,population
Mississippi,2002,2858681
Missouri,2002,5674825
Montana,2002,911667
Nebraska,2002,1728292
Nevada,2002,2173791
New Hampshire,2002,1269089
New Jersey,2002,8552643
New Mexico,2002,1855309
New York,2002,19137800
North Carolina,2002,8326201
North Dakota,2002,638168
Ohio,2002,11407889
Oklahoma,2002,3489080
Oregon,2002,3513424
Pennsylvania,2002,12331031
Rhode Island,2002,1065995
South Carolina,2002,4107795
South Dakota,2002,760020
Tennessee,2002,5795918
Texas,2002,21690325
Utah,2002,2324815
Vermont,2002,615442
Virginia,2002,7286873
Washington,2002,6052349
West Virginia,2002,1805414
Wisconsin,2002,5445162
Wyoming,2002,500017
Alabama,2003,4503491
Alaska,2003,648414
Arizona,2003,5510364
Arkansas,2003,2724816
California,2003,35253159
Colorado,2003,4528732
Connecticut,2003,3484336
Delaware,2003,818003
District of Columbia,2003,568502
Florida,2003,17004085
Georgia,2003,8622793
Hawaii,2003,1251154
Idaho,2003,1363380
Illinois,2003,12556006
Indiana,2003,6196638
Iowa,2003,2941999
Kansas,2003,2723004
Kentucky,2003,4117170
Louisiana,2003,4521042
Maine,2003,1306513
Maryland,2003,5496269
Massachusetts,2003,6422565
Michigan,2003,10041152
Minnesota,2003,5053572
Mississippi,2003,2868312
Missouri,2003,5709403
Montana,2003,919630
Nebraska,2003,1738643
Nevada,2003,2248850
New Hampshire,2003,1279840
New Jersey,2003,8601402
New Mexico,2003,1877574
New York,2003,19175939
North Carolina,2003,8422501
North Dakota,2003,638817
Ohio,2003,11434788
Oklahoma,2003,3504892
Oregon,2003,3547376
Pennsylvania,2003,12374658
Rhode Island,2003,1071342
South Carolina,2003,4150297
South Dakota,2003,763729
Tennessee,2003,5847812
Texas,2003,22030931
Utah,2003,2360137
Vermont,2003,617858
Virginia,2003,7366977
Washington,2003,6104115
West Virginia,2003,1812295
Wisconsin,2003,5479203
Wyoming,2003,503453
Alabama,2004,4530729
Alaska,2004,659286
Arizona,2004,5652404
Arkansas,2004,2749686
California,2004,35574576
Colorado,2004,4575013
Connecticut,2004,3496094
Delaware,2004,830803
District of Columbia,2004,567754
Florida,2004,17415318
Georgia,2004,8769252
Hawaii,2004,1273569
Idaho,2004,1391802
Illinois,2004,12589773
Indiana,2004,6233007
Iowa,2004,2953635
Kansas,2004,2734373
Kentucky,2004,4146101
Louisiana,2004,4552238
Maine,2004,1313688
Maryland,2004,5546935
Massachusetts,2004,6412281
Michigan,2004,10055315
Minnesota,2004,5087713
Mississippi,2004,2889010
Missouri,2004,5747741
Montana,2004,930009
Nebraska,2004,1749370
Nevada,2004,2346222
New Hampshire,2004,1290121
New Jersey,2004,8634561
New Mexico,2004,1903808
New York,2004,19171567
North Carolina,2004,8553152
North Dakota,2004,644705
Ohio,2004,11452251
Oklahoma,2004,3525233
Oregon,2004,3569463
Pennsylvania,2004,12410722
Rhode Island,2004,1074579
South Carolina,2004,4210921
South Dakota,2004,770396
Tennessee,2004,5910809
Texas,2004,22394023
Utah,2004,2401580
Vermont,2004,619920
Virginia,2004,7475575
Washington,2004,6178645
West Virginia,2004,1816438
Wisconsin,2004,5514026
Wyoming,2004,509106
Alabama,2005,4569805
Alaska,2005,666946
Arizona,2005,5839077
Arkansas,2005,2781097
California,2005,35827943
Colorado,2005,4631888
Connecticut,2005,3506956
Delaware,2005,845150
District of Columbia,2005,567136
Florida,2005,17842038
Georgia,2005,8925922
Hawaii,2005,1292729
Idaho,2005,1428241
Illinois,2005,12609903
Indiana,2005,6278616
Iowa,2005,2964454
Kansas,2005,2745299
Kentucky,2005,4182742
Louisiana,2005,4576628
Maine,2005,1318787
Maryland,2005,5592379
Massachusetts,2005,6403290
Michigan,2005,10051137
Minnesota,2005,5119598
Mississippi,2005,2905943
Missouri,2005,5790300
Montana,2005,940102
Nebraska,2005,1761497
Nevada,2005,2432143
New Hampshire,2005,1298492
New Jersey,2005,8651974
New Mexico,2005,1932274
New York,2005,19132610
North Carolina,2005,8705407
North Dakota,2005,646089
Ohio,2005,11463320
Oklahoma,2005,3548597
Oregon,2005,3613202
Pennsylvania,2005,12449990
Rhode Island,2005,1067916
South Carolina,2005,4270150
South Dakota,2005,775493
Tennessee,2005,5991057
Texas,2005,22778123
Utah,2005,2457719
Vermont,2005,621215
Virginia,2005,7577105
Washington,2005,6257305
West Virginia,2005,1820492
Wisconsin,2005,5546166
Wyoming,2005,514157
Alabama,2006,4628981
Alaska,2006,675302
Arizona,2006,6029141
Arkansas,2006,2821761
California,2006,36021202
Colorado,2006,4720423
Connecticut,2006,3517460
Delaware,2006,859268
District of Columbia,2006,570681
Florida,2006,18166990
Georgia,2006,9155813
Hawaii,2006,1309731
Idaho,2006,1468669
Illinois,2006,12643955
Indiana,2006,6332669
Iowa,2006,2982644
Kansas,2006,2762931
Kentucky,2006,4219239
Louisiana,2006,4302665
Maine,2006,1323619
Maryland,2006,5627367
Massachusetts,2006,6410084
Michigan,2006,10036081
Minnesota,2006,5163555
Mississippi,2006,2904978
Missouri,2006,5842704
Montana,2006,952692
Nebraska,2006,1772693
Nevada,2006,2522658
New Hampshire,2006,1308389
New Jersey,2006,8661679
New Mexico,2006,1962137
New York,2006,19104631
North Carolina,2006,8917270
North Dakota,2006,649422
Ohio,2006,11481213
Oklahoma,2006,3594090
Oregon,2006,3670883
Pennsylvania,2006,12510809
Rhode Island,2006,1063096
South Carolina,2006,4357847
South Dakota,2006,783033
Tennessee,2006,6088766
Texas,2006,23359580
Utah,2006,2525507
Vermont,2006,622892
Virginia,2006,7673725
Washington,2006,6370753
West Virginia,2006,1827912
Wisconsin,2006,5577655
Wyoming,2006,522667
Alabama,2007,4672840
Alaska,2007,680300
Arizona,2007,6167681
Arkansas,2007,2848650
California,2007,36250311
Colorado,2007,4803868
Connecticut,2007,3527270
Delaware,2007,871749
District of Columbia,2007,574404
Florida,2007,18367842
Georgia,2007,9349988
Hawaii,2007,1315675
Idaho,2007,1505105
Illinois,2007,12695866
Indiana,2007,6379599
Iowa,2007,2999212
Kansas,2007,2783785
Kentucky,2007,4256672
Louisiana,2007,4375581
Maine,2007,1327040
Maryland,2007,5653408
Massachusetts,2007,6431559
Michigan,2007,10001284
Minnesota,2007,5207203
Mississippi,2007,2928350
Missouri,2007,5887612
Montana,2007,964706
Nebraska,2007,1783440
Nevada,2007,2601072
New Hampshire,2007,1312540
New Jersey,2007,8677885
New Mexico,2007,1990070
New York,2007,19132335
North Carolina,2007,9118037
North Dakota,2007,652822
Ohio,2007,11500468
Oklahoma,2007,3634349
Oregon,2007,3722417
Pennsylvania,2007,12563937
Rhode Island,2007,1057315
South Carolina,2007,4444110
South Dakota,2007,791623
Tennessee,2007,6175727
Texas,2007,23831983
Utah,2007,2597746
Vermont,2007,623481
Virginia,2007,7751000
Washington,2007,6461587
West Virginia,2007,1834052
Wisconsin,2007,5610775
Wyoming,2007,534876
Alabama,2008,4718206
Alaska,2008,687455
Arizona,2008,6280362
Arkansas,2008,2874554
California,2008,36604337
Colorado,2008,4889730
Connecticut,2008,3545579
Delaware,2008,883874
District of Columbia,2008,580236
Florida,2008,18527305
Georgia,2008,9504843
Hawaii,2008,1332213
Idaho,2008,1534320
Illinois,2008,12747038
Indiana,2008,6424806
Iowa,2008,3016734
Kansas,2008,2808076
Kentucky,2008,4289878
Louisiana,2008,4435586
Maine,2008,1330509
Maryland,2008,5684965
Massachusetts,2008,6468967
Michigan,2008,9946889
Minnesota,2008,5247018
Mississippi,2008,2947806
Missouri,2008,5923916
Montana,2008,976415
Nebraska,2008,1796378
Nevada,2008,2653630
New Hampshire,2008,1315906
New Jersey,2008,8711090
New Mexico,2008,2010662
New York,2008,19212436
North Carolina,2008,9309449
North Dakota,2008,657569
Ohio,2008,11515391
Oklahoma,2008,3668976
Oregon,2008,3768748
Pennsylvania,2008,12612285
Rhode Island,2008,1055003
South Carolina,2008,4528996
South Dakota,2008,799124
Tennessee,2008,6247411
Texas,2008,24309039
Utah,2008,2663029
Vermont,2008,624151
Virginia,2008,7833496
Washington,2008,6562231
West Virginia,2008,1840310
Wisconsin,2008,5640996
Wyoming,2008,546043
Alabama,2009,4757938
Alaska,2009,698895
Arizona,2009,6343154
Arkansas,2009,2896843
California,2009,36961229
Colorado,2009,4972195
Connecticut,2009,3561807
Delaware,2009,891730
District of Columbia,2009,592228
Florida,2009,18652644
Georgia,2009,9620846
Hawaii,2009,1346717
Idaho,2009,1554439
Illinois,2009,12796778
Indiana,2009,6459325
Iowa,2009,3032870
Kansas,2009,2832704
Kentucky,2009,4317074
Louisiana,2009,4491648
Maine,2009,1329590
Maryland,2009,5730388
Massachusetts,2009,6517613
Michigan,2009,9901591
Minnesota,2009,5281203
Mississippi,2009,2958774
Missouri,2009,5961088
Montana,2009,983982
Nebraska,2009,1812683
Nevada,2009,2684665
New Hampshire,2009,1316102
New Jersey,2009,8755602
New Mexico,2009,2036802
New York,2009,19307066
North Carolina,2009,9449566
North Dakota,2009,664968
Ohio,2009,11528896
Oklahoma,2009,3717572
Oregon,2009,3808600
Pennsylvania,2009,12666858
Rhode Island,2009,1053646
South Carolina,2009,4589872
South Dakota,2009,807067
Tennessee,2009,6306019
Texas,2009,24801761
Utah,2009,2723421
Vermont,2009,624817
Virginia,2009,7925937
Washington,2009,6667426
West Virginia,2009,1847775
Wisconsin,2009,5669264
Wyoming,2009,559851
Alabama,2010,4785514
Alaska,2010,713982
Arizona,2010,6407342
Arkansas,2010,2921998
California,2010,37319550
Colorado,2010,5047539
Connecticut,2010,3579173
Delaware,2010,899647
District of Columbia,2010,605282
Florida,2010,18846143
Georgia,2010,9712209
Hawaii,2010,1364004
Idaho,2010,1570819
Illinois,2010,12840545
Indiana,2010,6490555
Iowa,2010,3050819
Kansas,2010,2858266
Kentucky,2010,4348464
Louisiana,2010,4544635
Maine,2010,1327651
Maryland,2010,5788784
Massachusetts,2010,6566440
Michigan,2010,9877597
Minnesota,2010,5310934
Mississippi,2010,2970615
Missouri,2010,5996089
Montana,2010,990730
Nebraska,2010,1829591
Nevada,2010,2702483
New Hampshire,2010,1316807
New Jersey,2010,8799451
New Mexico,2010,2064614
New York,2010,19399956
North Carolina,2010,9574586
North Dakota,2010,674752
Ohio,2010,11539449
Oklahoma,2010,3760014
Oregon,2010,3837614
Pennsylvania,2010,12711406
Rhode Island,2010,1053994
South Carolina,2010,4635846
South Dakota,2010,816193
Tennessee,2010,6355518
Texas,2010,25241897
Utah,2010,2775413
Vermont,2010,625886
Virginia,2010,8024004
Washington,2010,6743009
West Virginia,2010,1854265
Wisconsin,2010,5690538
Wyoming,2010,564531
Alabama,2011,4799642
Alaska,2011,722349
Arizona,2011,6473416
Arkansas,2011,2941038
California,2011,37636311
Colorado,2011,5121900
Connecticut,2011,3588632
Delaware,2011,907590
District of Columbia,2011,620290
Florida,2011,19055607
Georgia,2011,9803630
Hawaii,2011,1379562
Idaho,2011,1584272
Illinois,2011,12867783
Indiana,2011,6517250
Iowa,2011,3066772
Kansas,2011,2869677
Kentucky,2011,4370817
Louisiana,2011,4576244
Maine,2011,1328473
Maryland,2011,5840241
Massachusetts,2011,6614218
Michigan,2011,9883053
Minnesota,2011,5346620
Mississippi,2011,2979147
Missouri,2011,6011182
Montana,2011,997518
Nebraska,2011,1840914
Nevada,2011,2713114
New Hampshire,2011,1320444
New Jersey,2011,8828552
New Mexico,2011,2080707
New York,2011,19499921
North Carolina,2011,9658913
North Dakota,2011,685526
Ohio,2011,11545735
Oklahoma,2011,3788824
Oregon,2011,3872672
Pennsylvania,2011,12747052
Rhode Island,2011,1053829
South Carolina,2011,4672655
South Dakota,2011,823740
Tennessee,2011,6400298
Texas,2011,25645504
Utah,2011,2814797
Vermont,2011,627197
Virginia,2011,8102437
Washington,2011,6827479
West Virginia,2011,1856606
Wisconsin,2011,5705840
Wyoming,2011,567491
Alabama,2012,4816632
Alaska,2012,730810
Arizona,2012,6556344
Arkansas,2012,2952876
California,2012,37944551
Colorado,2012,5193660
Connecticut,2012,3595211
Delaware,2012,915518
District of Columbia,2012,635737
Florida,2012,19302016
Georgia,2012,9903580
Hawaii,2012,1395199
Idaho,2012,1595910
Illinois,2012,12883029
Indiana,2012,6538989
Iowa,2012,3076844
Kansas,2012,2886024
Kentucky,2012,4387865
Louisiana,2012,4602067
Maine,2012,1328094
Maryland,2012,5888375
Massachusetts,2012,6664269
Michigan,2012,9898289
Minnesota,2012,5377500
Mississippi,2012,2984599
Missouri,2012,6026027
Montana,2012,1004168
Nebraska,2012,1853691
Nevada,2012,2744670
New Hampshire,2012,1324677
New Jersey,2012,8845671
New Mexico,2012,2087715
New York,2012,19574362
North Carolina,2012,9751810
North Dakota,2012,702227
Ohio,2012,11550971
Oklahoma,2012,3819320
Oregon,2012,3900102
Pennsylvania,2012,12769123
Rhode Island,2012,1054893
South Carolina,2012,4719027
South Dakota,2012,833859
Tennessee,2012,6455752
Texas,2012,26084120
Utah,2012,2854146
Vermont,2012,626361
Virginia,2012,8187456
Washington,2012,6898599
West Virginia,2012,1857446
Wisconsin,2012,5720825
Wyoming,2012,576656
Alabama,2013,4831586
Alaska,2013,737626
Arizona,2013,6634690
Arkansas,2013,2960459
California,2013,38253768
Colorado,2013,5270774
Connecticut,2013,3595792
Delaware,2013,924062
District of Columbia,2013,651559
Florida,2013,19551678
Georgia,2013,9975592
Hawaii,2013,1408822
Idaho,2013,1612053
Illinois,2013,12895778
Indiana,2013,6570575
Iowa,2013,3093935
Kansas,2013,2894306
Kentucky,2013,4406906
Louisiana,2013,4626040
Maine,2013,1328543
Maryland,2013,5925197
Massachusetts,2013,6715158
Michigan,2013,9914802
Minnesota,2013,5414722
Mississippi,2013,2989839
Missouri,2013,6042989
Montana,2013,1014158
Nebraska,2013,1865813
Nevada,2013,2776956
New Hampshire,2013,1327272
New Jersey,2013,8857821
New Mexico,2013,2092833
New York,2013,19626488
North Carolina,2013,9846717
North Dakota,2013,723149
Ohio,2013,11579692
Oklahoma,2013,3853891
Oregon,2013,3924110
Pennsylvania,2013,12779538
Rhode Island,2013,1055560
South Carolina,2013,4766469
South Dakota,2013,842751
Tennessee,2013,6496943
Texas,2013,26479646
Utah,2013,2898773
Vermont,2013,626603
Virginia,2013,8255861
Washington,2013,6966252
West Virginia,2013,1854768
Wisconsin,2013,5738012
Wyoming,2013,582620
Alabama,2014,4843737
Alaska,2014,737075
Arizona,2014,6732873
Arkansas,2014,2968759
California,2014,38586706
Colorado,2014,5352637
Connecticut,2014,3595697
Delaware,2014,933131
District of Columbia,2014,663603
Florida,2014,19853880
Georgia,2014,10071204
Hawaii,2014,1415335
Idaho,2014,1632248
Illinois,2014,12885092
Indiana,2014,6596019
Iowa,2014,3110643
Kansas,2014,2901861
Kentucky,2014,4416992
Louisiana,2014,4645938
Maine,2014,1331217
Maryland,2014,5960064
Massachusetts,2014,6764864
Michigan,2014,9932033
Minnesota,2014,5452665
Mississippi,2014,2991892
Missouri,2014,6059130
Montana,2014,1022657
Nebraska,2014,1879955
Nevada,2014,2818935
New Hampshire,2014,1334257
New Jersey,2014,8867277
New Mexico,2014,2090236
New York,2014,19653431
North Carolina,2014,9937295
North Dakota,2014,738736
Ohio,2014,11606573
Oklahoma,2014,3879187
Oregon,2014,3965447
Pennsylvania,2014,12792392
Rhode Island,2014,1056511
South Carolina,2014,4826858
South Dakota,2014,849670
Tennessee,2014,6544617
Texas,2014,26963092
Utah,2014,2938327
Vermont,2014,625693
Virginia,2014,8315430
Washington,2014,7057531
West Virginia,2014,1850569
Wisconsin,2014,5753199
Wyoming,2014,583159
Alabama,2015,4854803
Alaska,2015,738430
Arizona,2015,6832810
Arkansas,2015,2979732
California,2015,38904296
Colorado,2015,5454328
Connecticut,2015,3588561
Delaware,2015,942065
District of Columbia,2015,677014
Florida,2015,20219111
Georgia,2015,10183353
Hawaii,2015,1422999
Idaho,2015,1652495
Illinois,2015,12859585
Indiana,2015,6611442
Iowa,2015,3122541
Kansas,2015,2910717
Kentucky,2015,4429126
Louisiana,2015,4666998
Maine,2015,1329098
Maryland,2015,5988528
Massachusetts,2015,6797484
Michigan,2015,9934483
Minnesota,2015,5484002
Mississippi,2015,2990231
Missouri,2015,6075411
Montana,2015,1031495
Nebraska,2015,1892059
Nevada,2015,2868531
New Hampshire,2015,1337480
New Jersey,2015,8870312
New Mexico,2015,2090071
New York,2015,19657321
North Carolina,2015,10037218
North Dakota,2015,755537
Ohio,2015,11622315
Oklahoma,2015,3910518
Oregon,2015,4018542
Pennsylvania,2015,12789838
Rhode Island,2015,1056886
South Carolina,2015,4896006
South Dakota,2015,854663
Tennessee,2015,6595354
Texas,2015,27468531
Utah,2015,2983626
Vermont,2015,625810
Virginia,2015,8367303
Washington,2015,7167287
West Virginia,2015,1843332
Wisconsin,2015,5762927
Wyoming,2015,586389
Alabama,2016,4866824
Alaska,2016,742575
Arizona,2016,6944767
Arkansas,2016,2991815
California,2016,39149186
Colorado,2016,5543844
Connecticut,2016,3579830
Delaware,2016,949989
District of Columbia,2016,687576
Florida,2016,20627237
Georgia,2016,10308442
Hawaii,2016,1428885
Idaho,2016,1684036
Illinois,2016,12821709
Indiana,2016,6637898
Iowa,2016,3133210
Kansas,2016,2912977
Kentucky,2016,4440306
Louisiana,2016,4681346
Maine,2016,1332348
Maryland,2016,6007014
Massachusetts,2016,6827280
Michigan,2016,9954117
Minnesota,2016,5525360
Mississippi,2016,2990595
Missouri,2016,6091384
Montana,2016,1042137
Nebraska,2016,1906483
Nevada,2016,2919555
New Hampshire,2016,1343694
New Jersey,2016,8873584
New Mexico,2016,2092555
New York,2016,19636391
North Carolina,2016,10161802
North Dakota,2016,756114
Ohio,2016,11640060
Oklahoma,2016,3928143
Oregon,2016,4093271
Pennsylvania,2016,12788468
Rhode Island,2016,1057816
South Carolina,2016,4963031
South Dakota,2016,863693
Tennessee,2016,6651277
Texas,2016,27914064
Utah,2016,3044241
Vermont,2016,624366
Virginia,2016,8417651
Washington,2016,7299961
West Virginia,2016,1832435
Wisconsin,2016,5775170
Wyoming,2016,585243
Alabama,2017,4877989
Alaska,2017,740983
Arizona,2017,7048088
Arkansas,2017,3003855
California,2017,39337785
Colorado,2017,5617421
Connecticut,2017,3575324
Delaware,2017,957942
District of Columbia,2017,697079
Florida,2017,20977089
Georgia,2017,10417031
Hawaii,2017,1425763
Idaho,2017,1719745
Illinois,2017,12779893
Indiana,2017,6662068
Iowa,2017,3143734
Kansas,2017,2910892
Kentucky,2017,4455590
Louisiana,2017,4673673
Maine,2017,1335743
Maryland,2017,6028186
Massachusetts,2017,6863560
Michigan,2017,9976752
Minnesota,2017,5569283
Mississippi,2017,2990674
Missouri,2017,6111382
Montana,2017,1053862
Nebraska,2017,1916998
Nevada,2017,2972097
New Hampshire,2017,1350395
New Jersey,2017,8888147
New Mexico,2017,2092844
New York,2017,19593849
North Carolina,2017,10275758
North Dakota,2017,756755
Ohio,2017,11665706
Oklahoma,2017,3933602
Oregon,2017,4147294
Pennsylvania,2017,12794679
Rhode Island,2017,1056554
South Carolina,2017,5027102
South Dakota,2017,873732
Tennessee,2017,6714748
Texas,2017,28291024
Utah,2017,3103540
Vermont,2017,625132
Virginia,2017,8471011
Washington,2017,7427951
West Virginia,2017,1818683
Wisconsin,2017,5793147
Wyoming,2017,579994
Alabama,2018,4891628
Alaska,2018,736624
Arizona,2018,7164228
Arkansas,2018,3012161
California,2018,39437463
Colorado,2018,5697155
Connecticut,2018,3574561
Delaware,2018,966985
District of Columbia,2018,704147
Florida,2018,21254926
Georgia,2018,10519389
Hawaii,2018,1423102
Idaho,2018,1752074
Illinois,2018,12724685
Indiana,2018,6698481
Iowa,2018,3149900
Kansas,2018,2912748
Kentucky,2018,4464273
Louisiana,2018,4664450
Maine,2018,1340123
Maryland,2018,6042153
Massachusetts,2018,6885720
Michigan,2018,9987286
Minnesota,2018,5608762
Mississippi,2018,2982879
Missouri,2018,6125986
Montana,2018,1061818
Nebraska,2018,1925512
Nevada,2018,3030725
New Hampshire,2018,1355064
New Jersey,2018,8891730
New Mexico,2018,2093754
New York,2018,19544098
North Carolina,2018,10391358
North Dakota,2018,760062
Ohio,2018,11680892
Oklahoma,2018,3943488
Oregon,2018,4183538
Pennsylvania,2018,12809107
Rhode Island,2018,1059338
South Carolina,2018,5091702
South Dakota,2018,879386
Tennessee,2018,6778180
Texas,2018,28624564
Utah,2018,3155153
Vermont,2018,624802
Virginia,2018,8510920
Washington,2018,7526793
West Virginia,2018,1805953
Wisconsin,2018,5809319
Wyoming,2018,579054
Alabama,2019,4907965
Alaska,2019,733603
Arizona,2019,7291843
Arkansas,2019,3020985
California,2019,39437610
Colorado,2019,5758486
Connecticut,2019,3566022
Delaware,2019,976668
District of Columbia,2019,708253
Florida,2019,21492056
Georgia,2019,10628020
Hawaii,2019,1415615
Idaho,2019,1789060
Illinois,2019,12667017
Indiana,2019,6731010
Iowa,2019,3159596
Kansas,2019,2912635
Kentucky,2019,4472345
Louisiana,2019,4658285
Maine,2019,1345770
Maryland,2019,6054954
Massachusetts,2019,6894883
Michigan,2019,9984795
Minnesota,2019,5640053
Mississippi,2019,2978227
Missouri,2019,6140475
Montana,2019,1070123
Nebraska,2019,1932571
Nevada,2019,3090771
New Hampshire,2019,1360783
New Jersey,2019,8891258
New Mexico,2019,2099634
New York,2019,19463131
North Carolina,2019,10501384
North Dakota,2019,763724
Ohio,2019,11696507
Oklahoma,2019,3960676
Oregon,2019,4216116
Pennsylvania,2019,12798883
Rhode Island,2019,1058158
South Carolina,2019,5157702
South Dakota,2019,887127
Tennessee,2019,6830325
Texas,2019,28986794
Utah,2019,3203383
Vermont,2019,624046
Virginia,2019,8556642
Washington,2019,7614024
West Virginia,2019,1795263
Wisconsin,2019,5824581
Wyoming,2019,580116
Alabama,2020,4921532
Alaska,2020,731158
Arizona,2020,7421401
Arkansas,2020,3030522
California,2020,39368078
Colorado,2020,5807719
Connecticut,2020,3557006
Delaware,2020,986809
District of Columbia,2020,712816
Florida,2020,21733312
Georgia,2020,10710017
Hawaii,2020,1407006
Idaho,2020,1826913
Illinois,2020,12587530
Indiana,2020,6754953
Iowa,2020,3163561
Kansas,2020,2913805
Kentucky,2020,4477251
Louisiana,2020,4645318
Maine,2020,1350141
Maryland,2020,6055802
Massachusetts,2020,6893574
Michigan,2020,9966555
Minnesota,2020,5657342
Mississippi,2020,2966786
Missouri,2020,6151548
Montana,2020,1080577
Nebraska,2020,1937552
Nevada,2020,3138259
New Hampshire,2020,1366275
New Jersey,2020,8882371
New Mexico,2020,2106319
New York,2020,19336776
North Carolina,2020,10600823
North Dakota,2020,765309
Ohio,2020,11693217
Oklahoma,2020,3980783
Oregon,2020,4241507
Pennsylvania,2020,12783254
Rhode Island,2020,1057125
South Carolina,2020,5218040
South Dakota,2020,892717
Tennessee,2020,6886834
Texas,2020,29360759
Utah,2020,3249879
Vermont,2020,623347
Virginia,2020,8590563
Washington,2020,7693612
West Virginia,2020,1784787
Wisconsin,2020,5832655
Wyoming,2020,582328
